"","pawsid","slackDomain","filename","timestamp","exercise","task","totalscore","chunk"
"167","tkielm1","isds1102spr19","tkielm1_e2b_1553480580894.xlsx","2019-03-25 02:23:26","e2","b","100.0","e2b"
"168","tkielm1","isds1102spr19","tkielm1_e2c_1553480589270.xlsx","2019-03-25 02:23:35","e2","c","83.3333333333","e2c"
"169","zdaigl3","isds1102spr19","zdaigl3_e1a_1553123435076.xlsx","2019-03-20 23:11:00","e1","a","96.5","e1a"
"170","zdaigl3","isds1102spr19","zdaigl3_e1b_1553123834924.xlsx","2019-03-20 23:17:45","e1","b","0.0","e1b"
"171","zdaigl3","isds1102spr19","zdaigl3_e1c_1553475856299.xlsx","2019-03-25 01:04:42","e1","c","90.8333333333","e1c"
"172","zdaigl3","isds1102spr19","zdaigl3_e1d_1553476593373.xlsx","2019-03-25 01:16:58","e1","d","100.0","e1d"
"173","zdaigl3","isds1102spr19","zdaigl3_e2a_1553477475902.xlsx","2019-03-25 01:31:41","e2","a","100.0","e2a"
"174","zdaigl3","isds1102spr19","zdaigl3_e2b_1553478041043.xlsx","2019-03-25 01:41:06","e2","b","100.0","e2b"
"175","zdaigl3","isds1102spr19","zdaigl3_e2c_1553479495167.xlsx","2019-03-25 02:05:21","e2","c","100.0","e2c"
"176","zdaigl3","isds1102spr19","zdaigl3_e2d_1553480207073.xlsx","2019-03-25 02:17:12","e2","d","100.0","e2d"
"177","zdaigl3","isds1102spr19","zdaigl3_e2e_1553480808887.xlsx","2019-03-25 02:27:14","e2","e","78.6666666667","e2e"
"178","eeisne1","isds1102spr19",NA,NA,NA,NA,NA,"NANA"
"179","kluins1","isds1102spr19",NA,NA,NA,NA,NA,"NANA"
"180","ajoh458","isds1102spr19","ajoh458_e1a_1553300764038.xlsx","2019-03-23 00:26:28","e1","a","100.0","e1a"
"181","ajoh458","isds1102spr19","ajoh458_e1b_1553301161600.xlsx","2019-03-23 00:33:06","e1","b","100.0","e1b"
"182","mnovo1","isds1102spr19","mnovo1_e1a_1553460595969.xlsx","2019-03-24 20:50:21","e1","a","100.0","e1a"
"183","mnovo1","isds1102spr19","mnovo1_e1b_1553460619834.xlsx","2019-03-24 20:50:45","e1","b","100.0","e1b"
"184","mnovo1","isds1102spr19","mnovo1_e1c_1553466506739.xlsx","2019-03-24 22:28:52","e1","c","90.8333333333","e1c"
"185","mnovo1","isds1102spr19","mnovo1_e1d_1553467406480.xlsx","2019-03-24 22:43:51","e1","d","83.3333333333","e1d"
"186","mnovo1","isds1102spr19","mnovo1_e1d_1553467442667.xlsx","2019-03-24 22:44:27","e1","d","83.3333333333","e1d"
"187","mnovo1","isds1102spr19","mnovo1_e1c_1553467446873.xlsx","2019-03-24 22:44:32","e1","c","90.8333333333","e1c"
"188","mnovo1","isds1102spr19","mnovo1_e1b_1553467451650.xlsx","2019-03-24 22:44:36","e1","b","100.0","e1b"
"189","mnovo1","isds1102spr19","mnovo1_e1a_1553467455174.xlsx","2019-03-24 22:44:40","e1","a","100.0","e1a"
"190","mlege12","isds1102spr19",NA,NA,NA,NA,NA,"NANA"
"191","icarls2","isds1102spr19",NA,NA,NA,NA,NA,"NANA"
"192","shar133","isds1102s4workspace","shar133_e1a_1552927654739.xlsx","2019-03-18 16:47:58","e1","a","99.0","e1a"
"193","shar133","isds1102s4workspace","shar133_e1b_1553098968381.xlsx","2019-03-20 16:23:13","e1","b","93.75","e1b"
"194","ehemb1","isds1102spr19",NA,NA,NA,NA,NA,"NANA"
"195","lkersh2","isds1102spr19","lkersh2_e1a_1553182527595.xlsx","2019-03-21 15:35:52","e1","a","100.0","e1a"
"196","lkersh2","isds1102spr19","lkersh2_e1b_1553219579302.xlsx","2019-03-22 01:53:25","e1","b","100.0","e1b"
"197","lkersh2","isds1102spr19","lkersh2_e1c_1553231090363.xlsx","2019-03-22 05:05:16","e1","c","90.8333333333","e1c"
"198","lkersh2","isds1102spr19","lkersh2_e1d_1553232720565.xlsx","2019-03-22 05:32:27","e1","d","100.0","e1d"
"199","aruiz29","isds1102spr19","aruiz29_e1a_1553214631452.xlsx","2019-03-22 00:30:56","e1","a","75.25","e1a"
"200","aruiz29","isds1102spr19","aruiz29_e1b_1553215103404.xlsx","2019-03-22 00:38:47","e1","b","93.75","e1b"
"201","tlally1","isds1102spr19","tlally1_e1a_1553544685900.xlsx","2019-03-25 20:11:51","e1","a","96.5","e1a"
"202","mmcco47","isds1102spr19",NA,NA,NA,NA,NA,"NANA"
"203","bsoil15","isds1102spr19","bsoil15_e1a_1547605875942.xlsx","2019-01-16 02:31:22","e1","a","96.75","e1a"
"204","bsoil15","isds1102spr19","bsoil15_e1b_1547657376568.xlsx","2019-01-16 16:49:43","e1","b","100.0","e1b"
"205","shazle2","isds1102spr19","shazle2_e1a_1553134613703.xlsx","2019-03-21 02:17:18","e1","a","93.75","e1a"
"206","jowen62","isds1102s4workspace",NA,NA,NA,NA,NA,"NANA"
"207","tpogue2","isds1102spr19",NA,NA,NA,NA,NA,"NANA"
"208","smosri1","isds1102spr19",NA,NA,NA,NA,NA,"NANA"
"209","jmejia8","mcure2018fall","jmejia8_e1a_1552928089530.xlsx","2019-03-18 16:55:12","e1","a","93.75","e1a"
"210","jmejia8","mcure2018fall","jmejia8_e2a_1553099191316.xlsx","2019-03-20 16:26:55","e2","a","83.3333333333","e2a"
"211","jmejia8","mcure2018fall","jmejia8_e2a_1553099564596.xlsx","2019-03-20 16:33:08","e2","a","100.0","e2a"
"212","jmejia8","mcure2018fall","jmejia8_e2b_1553100696620.xlsx","2019-03-20 16:52:00","e2","b","100.0","e2b"
"213","jmejia8","mcure2018fall","jmejia8_e3a_1553531021718.xlsx","2019-03-25 16:24:10","e3","a","100.0","e3a"
"214","jmejia8","mcure2018fall","jmejia8_e3b_1553532665192.xlsx","2019-03-25 16:51:31","e3","b","100.0","e3b"
"215","ojacob2","isds1102spr19","ojacob2_e1a_1552965537458.xlsx","2019-03-19 03:19:21","e1","a","90.25","e1a"
"216","ojacob2","isds1102spr19","ojacob2_e1b_1552965902983.xlsx","2019-03-19 03:25:33","e1","b","0.0","e1b"
"217","ojacob2","isds1102spr19","ojacob2_e1c_1552966883969.xlsx","2019-03-19 03:41:51","e1","c","84.1666666667","e1c"
"218","ojacob2","isds1102spr19","ojacob2_e1d_1552967704517.xlsx","2019-03-19 03:55:29","e1","d","50.0","e1d"
"219","ojacob2","isds1102spr19","ojacob2_e2a_1553038394364.xlsx","2019-03-19 23:34:55","e2","a","83.3333333333","e2a"
"220","ojacob2","isds1102spr19","ojacob2_e2b_1553038783386.xlsx","2019-03-19 23:40:07","e2","b","95.0","e2b"
"221","ojacob2","isds1102spr19","ojacob2_e2c_1553039843841.xlsx","2019-03-19 23:57:48","e2","c","83.3333333333","e2c"
"222","ojacob2","isds1102spr19","ojacob2_e2d_1553040699698.xlsx","2019-03-20 00:12:03","e2","d","100.0","e2d"
"223","ojacob2","isds1102spr19","ojacob2_e2e_1553041250507.xlsx","2019-03-20 00:21:14","e2","e","84.3333333333","e2e"
"224","ojacob2","isds1102spr19","ojacob2_e3a_1553540037669.xlsx","2019-03-25 18:54:30","e3","a","100.0","e3a"
